indicator,label
PAK_GGO_RG_R_TR_F_FBR_ST_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Tax Revenue, Federal, FBR revenue, Sales tax, National Currency"
PAK_GGO_RG_R_TR_F_FBR_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Tax Revenue, Federal, FBR revenue, National Currency"
PAK_GGO_RG_R_TR_F_GIDC_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Tax Revenue, Federal, GIDC, National Currency"
PAK_GGO_RG_R_TR_F_GS_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Tax Revenue, Federal, Gas surcharge, National Currency"
PAK_GGO_RG_R_TR_F_O_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Tax Revenue, Federal, Other (ICT), National Currency"
PAK_GGO_RG_R_TR_F_PL_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Tax Revenue, Federal, Petroleum levy, National Currency"
PAK_GGO_RG_R_TR_F_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Tax Revenue, Federal, National Currency"
PAK_GGO_RG_R_TR_P_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Tax Revenue, Provincial, National Currency"
PAK_GGO_RG_R_TR_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Tax Revenue, National Currency"
PAK_GGO_RG_R_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, National Currency"
PAK_GGO_RG_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, National Currency"
PAK_GGO_SD_XDC,"Pakistan Definition,General Government Operations, Statistical discrepancy, National Currency"
PAK_MET_TMG_CIF_CG_C_XDC,"Pakistan Definition, Merchandise Trade, Total imports, Chemical Group, Chemicals (excl. 2, 3 & 4), National Currency"
PAK_MET_TMG_CIF_EC_RMCG_XDC,"Pakistan Definition, Merchandise Trade, Total imports, by Economic Category, Raw Material For Consumer Goods, National Currency"
PAK_MET_TMG_CIF_EC_RMKG_XDC,"Pakistan Definition, Merchandise Trade, Total imports, by Economic Category, Raw Material For Capital Goods, National Currency"
PAK_MET_TMG_CIF_MIG_O_XDC,"Pakistan Definition, Merchandise Trade, Total imports, Others, National Currency"
PAK_MET_TMG_CIF_MIG_XDC,"Pakistan Definition, Merchandise Trade, Total imports, Miscellaneous Group, National Currency"
PAK_MET_TMG_CIF_PG_PP_XDC,"Pakistan Definition, Merchandise Trade, Total imports, Petroleum Group, Petroleum products, National Currency"
PAK_MET_TMG_CIF_PG_XDC,"Pakistan Definition, Merchandise Trade, Total imports, Petroleum Group, National Currency"
PAK_MET_TMG_CIF_TG_SASY_XDC,"Pakistan Definition, Merchandise Trade, Total imports,Textile Group, Synthetic & artificial silk yarn, National Currency"
PAK_MET_TXG_FOB_EC_MG_XDC,"Pakistan Definition, Merchandise Trade,  Total Exports, by Economic Category, Manufactured Goods, National Currency"
PAK_MET_TXG_FOB_EC_PC_XDC,"Pakistan Definition, Merchandise Trade,  Total Exports, by Economic Category, Primary Commodities, National Currency"
PAK_MET_TXG_FOB_EC_SM_XDC,"Pakistan Definition, Merchandise Trade,  Total Exports, by Economic Category, Semi-Manufactures, National Currency"
PAK_MET_TXG_FOB_OM_XDC,"Pakistan Definition, Merchandise Trade, Total Exports, by Group/Commodities, Other Manufactures, National Currency"
PAK_MET_TXG_FOB_O_XDC,"Pakistan Definition, Merchandise Trade,  Total Exports, by Group/Commodities, Others, National Currency"
PAK_MET_TXG_FOB_PC_RC_XDC,"Pakistan Definition, Merchandise Trade, Total Exports, by Group/Commodities, Primary Commodities  Fish & fish preparation, Raw cotton (excl. linters), National Currency"
PAK_MET_TXG_FOB_TM_B_XDC,"Pakistan Definition, Merchandise Trade, Total Exports, by Group/Commodities, Textile Manufactures, Bedwear, National Currency"
PAK_MET_TXG_FOB_TM_TMU_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Textile Manufactures, Textile made up (excl. towels & bed wear, National Currency"
PAK_MET_TXG_FOB_TM_T_XDC,"Pakistan Definition, Merchandise Trade, Total Exports, by Group/Commodities, Textile Manufactures, Towels, National Currency"
PAK_NAG_ISIC4_A011T013_CG_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, A. Agricultural Sector ( 1 to 4 ), 1. Crops ( i+ii+iii), iii) Cotton Ginning, Nominal, National Currency"
PAK_NAG_ISIC4_A011T013_IC_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, A. Agricultural Sector ( 1 to 4 ), 1. Crops ( i+ii+iii), i) Important Crops, Nominal, National Currency"
PAK_NAG_ISIC4_A011T013_OC_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, A. Agricultural Sector ( 1 to 4 ), 1. Crops ( i+ii+iii), ii) Other Crops, Nominal, National Currency"
PAK_NAG_ISIC4_NGDPIA_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, Commodity Producing Sectors, Nominal, National Currency"
PAK_NAG_ISIC4_NGDPS_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, Services, Nominal, National Currency"
PAK_NAG_R_ISIC4_A011T013_CG_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, A. Agricultural Sector ( 1 to 4 ), 1. Crops ( i+ii+iii), iii) Cotton Ginning, Real, National Currency"
PAK_NAG_R_ISIC4_A011T013_IC_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, A. Agricultural Sector ( 1 to 4 ), 1. Crops ( i+ii+iii), i) Important Crops, Real, National Currency"
PAK_NAG_R_ISIC4_A011T013_OC_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, A. Agricultural Sector ( 1 to 4 ), 1. Crops ( i+ii+iii), ii) Other Crops, Real, National Currency"
PAK_NAG_R_ISIC4_NGDPIA_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, Commodity Producing Sectors, Real, National Currency"
PAK_NAG_R_ISIC4_NGDPI_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, Industrical Activities, Real, National Currency"
PAK_NGA_NGDPVA_ISIC4_C_LS_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, Manufacturing, Large Scale, Nominal, National Currency"
PAK_NGA_NGDPVA_ISIC4_C_SS_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, Manufacturing, Smale Scale, Nominal, National Currency"
PAK_NGA_NGDPVA_ISIC4_C_S_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, Manufacturing, Slaughtering Scale, Nominal, National Currency"
PAK_NGA_NGDPVA_R_ISIC4_C_LS_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, Manufacturing, Large Scale, Real, National Currency"
PAK_NGA_NGDPVA_R_ISIC4_C_SS_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, Manufacturing, Smale Scale, Real, National Currency"
PAK_NGA_NGDPVA_R_ISIC4_C_S_XDC,"Pakistan Definition, National Accounts, Gross Value Added, by Activity, Manufacturing, Slaughtering Scale, Real, National Currency"
PAK_ORSI_AE_GWH,"Pakistan Definition, Industrial Production, Production of Crude Oil, Natural Gas and Electricity, Alternate Energy, Gigawatt Hours"
PAK_ORSI_EG_GWH,"Pakistan Definition, Industrial Production, Production of Crude Oil, Natural Gas and Electricity, Total ( Elec. Gen. in (GWH)), Gigawatt Hours"
PAK_ORSI_H_GWH,"Pakistan Definition, Industrial Production, Production of Crude Oil, Natural Gas and Electricity, Hydel, Gigawatt Hours"
PAK_ORSI_NG_1000FC,"Pakistan Definition, Industrial Production, Production of Crude Oil, Natural Gas and Electricity, Natural Gas (MCFT), Thousand Cubic Feet"
PAK_ORSI_N_GWH,"Pakistan Definition, Industrial Production, Production of Crude Oil, Natural Gas and Electricity, Nuclear, Gigawatt Hours"
PAK_ORSI_T_GWH,"Pakistan Definition, Industrial Production, Production of Crude Oil, Natural Gas and Electricity, Thermal, Gigawatt Hours"
PCPI_CP_01_IX,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Food and non-alcoholic beverages, Index"
PCPI_CP_01_WT,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Food and non-alcoholic beverages, Weight"
PCPI_CP_02_IX,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Alcoholic beverages, tobacco and narcotics, Index"
PCPI_CP_02_WT,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Alcoholic beverages, tobacco and narcotics, Weight"
PCPI_CP_03_IX,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Clothing and footwear, Index"
PCPI_CP_03_WT,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Clothing and footwear, Weight"
PCPI_CP_04_IX,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Housing, water, electricity, gas and other fuels, Index"
PCPI_CP_04_WT,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Housing, water, electricity, gas and other fuels, Weight"
PCPI_CP_05_IX,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Furnishings, household equipment and routine household maintenance, Index"
PCPI_CP_05_WT,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Furnishings, household equipment and routine household maintenance, Weight"
PCPI_CP_06_IX,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Health, Index"
PCPI_CP_06_WT,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Health, Weight"
PCPI_CP_07_IX,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Transport, Index"
PCPI_CP_07_WT,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Transport, Weight"
PCPI_CP_08_IX,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Communication, Index"
PCPI_CP_08_WT,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Communication, Weight"
PCPI_CP_09_IX,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Recreation and culture, Index"
PCPI_CP_09_WT,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Recreation and culture, Weight"
PCPI_CP_10_IX,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Education, Index"
PCPI_CP_10_WT,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Education, Weight"
PCPI_CP_11_IX,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Restaurants and hotels, Index"
PCPI_CP_11_WT,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Restaurants and hotels, Weight"
PCPI_CP_12_IX,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Miscellaneous goods and services, Index"
PCPI_CP_12_WT,"Prices, Consumer Prices, By Classification of Individual Consumption According to Purpose (COICOP), Expenditure of Households, Miscellaneous goods and services, Weight"
PCPI_IX,"Prices, Consumer Price,  All items, Index"
PCPI_WT,"Prices, Consumer Prices, All Items, Weight"
PWPI_CPC21_0_IX,"Producer Price Index, Wholesale Prices, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Index"
PWPI_CPC21_1_IX,"Producer Price Index, Wholesale Prices, By Central Product Classification (CPC) Version 2.1, Ores and minerals; electricity, gas and water, Index"
PWPI_CPC21_2_IX,"Producer Price Index, Wholesale Prices, By Central Product Classification (CPC) Version 2.1, Food products, beverages and tobacco; textiles, apparel and leather products, Index"
PWPI_CPC21_3_IX,"Producer Price Index, Wholesale Prices, By Central Product Classification (CPC) Version 2.1, Other transportable goods, except metal products, machinery and equipment, Index"
PWPI_CPC21_4_IX,"Producer Price Index, Wholesale Prices, By Central Product Classification (CPC) Version 2.1, Metal products, machinery and equipment, Index"
PWPI_IX,"Prices, Wholesale Price Index, All Items, Index"
TMGC_CIF_XDC,"Merchandise Trade, Total imports, by Economic Category, Consumer Goods, National Currency"
TMGK_CIF_XDC,"Merchandise Trade, Total imports, by Economic Category, Capital Goods, National Currency"
TMG_CIF_XDC,"External Trade, Imports, Goods, Value, Cost, Insurance, Freight, National Currency"
TMG_CPC21_0162_CIF_XDC,"Merchandise Trade, Total Imports, by Group/Commodities,  Tea, National Currency"
TMG_CPC21_1201_CIF_XDC,"Merchandise Trade, Total imports, Petroleum Group, Petroleum crude, National Currency"
TMG_CPC21_14_CIF_XDC,"Merchandise Trade, Total imports, Metal Group, National Currency"
TMG_CPC21_161_CIF_XDC,"Merchandise Trade, Total imports, Chemical Group, Fertilizer manufactured, National Currency"
TMG_CPC21_213_CIF_XDC,"Merchandise Trade, Total Imports, by Group/Commodities,  Pulses, National Currency"
TMG_CPC21_2161_CIF_XDC,"Merchandise Trade, Total Imports, by Group/Commodities,  Soyabean oil, National Currency"
TMG_CPC21_2165_CIF_XDC,"Merchandise Trade, Total Imports, by Group/Commodities,  Palm oil, National Currency"
TMG_CPC21_2221T22229_CIF_XDC,"Merchandise Trade, Total Imports, by Group/Commodities,  Milk & milk food for infants, National Currency"
TMG_CPC21_2643_CIF_XDC,"Merchandise Trade, Total imports,Textile GroupSynthetic fibre, National Currency"
TMG_CPC21_26_CIF_XDC,"Merchandise Trade, Total imports,Textile Group, National Currency"
TMG_CPC21_2_CIF_XDC,"Merchandise Trade, Total Imports, by Group/Commodities,  Food Group, National Currency"
TMG_CPC21_32_CIF_XDC,"Merchandise Trade,  Total imports, Miscellaneous Group, Paper & paper products, National Currency"
TMG_CPC21_3466_CIF_XDC,"Merchandise Trade, Total imports, Chemical Group, Insecticide, National Currency"
TMG_CPC21_34_CIF_XDC,"Merchandise Trade, Total imports, Chemical Group, National Currency"
TMG_CPC21_352_CIF_XDC,"Merchandise Trade, Total imports, Chemical Group, Medicinal products, National Currency"
TMG_CPC21_361_CIF_XDC,"Merchandise Trade,  Total imports, Miscellaneous Group, Tyres & tubes, National Currency"
TMG_CPC21_3931_CIF_XDC,"Merchandise Trade, Total imports, Metal Group, Iron & steel scrap, National Currency"
TMG_CPC21_3_CIF_XDC,"Merchandise Trade, Total imports, Machinery & Trans. Group, National Currency"
TMG_CPC21_412_CIF_XDC,"Merchandise Trade, Total imports, Metal Group, Iron & steel, National Currency"
TMG_CPC21_43T47_CIF_XDC,"Merchandise Trade, Total imports, Machinery & Trans. Group, Machinery, National Currency"
TMG_CPC21_49_CIF_XDC,"External Trade, Imports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Metal products, machinery and equipment, Transport equipment, Cost Insurance Freight (CIF) adjustment, National Currency"
TXG_CPC21_0113_FOB_XDC,"Merchandise Trade, Total exports, by Group/Commodities, Primary Commodities, Rice, National Currency"
TXG_CPC21_012T001990_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Primary Commodities  Fruits,vegetables & preparation thereof, National Currency"
TXG_CPC21_04_FOB_XDC,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency"
TXG_CPC21_0_FOB_XDC,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Free on Board, National Currency"
TXG_CPC21_2501_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Primary Commodities  Tobacco un-manufactured, National Currency"
TXG_CPC21_2613_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Primary Commodities  Raw wool, National Currency"
TXG_CPC21_2616_FOB_XDC,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Food products, beverages and tobacco; textiles, apparel and leather products, Yarn and thread; woven and tufted textile fabrics, Natural textile fibres prepared for spinning, Cotton, carded or combed, Free on Board, National Currency"
TXG_CPC21_2621_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Textile Manufactures, Synthetic textile fabrics, National Currency"
TXG_CPC21_2636_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Textile Manufactures, Cotton yarn, National Currency"
TXG_CPC21_26_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Textile Manufactures, Articles of apparel and clothing accessories (excl. knitwear), National Currency"
TXG_CPC21_2716_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Textile Manufactures, Synthetic textile fabrics, Tarpaulin &other canvas goods, National Currency"
TXG_CPC21_272_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Other Manufactures, Carpets, carpeting, rugs & mats, National Currency"
TXG_CPC21_27_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Textile Manufactures, National Currency"
TXG_CPC21_281_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Textile Manufactures, Knitwear, National Currency"
TXG_CPC21_2824_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Other Manufactures, Leather, National Currency"
TXG_CPC21_29_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Other Manufactures, Footwear, National Currency"
TXG_CPC21_2_FOB_XDC,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Food products, beverages and tobacco; textiles, apparel and leather products, Free on Board, National Currency"
TXG_CPC21_33_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Other Manufactures, Petroleum products, National Currency"
TXG_CPC21_35290_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Other Manufactures, Surgical instruments, National Currency"
TXG_CPC21_384_FOB_XDC,"Merchandise Trade, Total Exports, by Group/Commodities, Other Manufactures, Sports goods (excl. toys), National Currency"
TXG_FOB_XDC,"External Trade, Exports, Goods, Value, Free on Board, National Currency"
