indicator,label
NGDPVA_ISIC4_Q_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Nominal, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Human health and social work activities, National Currency"
NGDPVA_ISIC4_S_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Nominal, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Other service activities, National Currency"
NGDPVA_ISIC4_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Nominal, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, National Currency"
NGDPVA_R_BY2015-2016_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, National Currency (base 2015-16)"
NGDPVA_R_ISIC4_A011T013_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Agriculture, National Currency"
NGDPVA_R_ISIC4_A014T017_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Agriculture, forestry and fishing, Crop and animal production, hunting and hunting and related service activities, Animal Production and Hunting, trapping and related service activities, National Currency"
NGDPVA_R_ISIC4_A02_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Agriculture, forestry and fishing, Forestry and logging, National Currency"
NGDPVA_R_ISIC4_A03_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Agriculture, forestry and fishing, Fishing and aquaculture, National Currency"
NGDPVA_R_ISIC4_A_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Agriculture, forestry and fishing, National Currency"
NGDPVA_R_ISIC4_B_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Mining and quarrying, National Currency"
NGDPVA_R_ISIC4_C_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Manufacturing, National Currency"
NGDPVA_R_ISIC4_D_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Electricity, gas, steam and air conditioning supply, National Currency"
NGDPVA_R_ISIC4_F_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Construction, National Currency"
NGDPVA_R_ISIC4_G_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Wholesale and retail trade; repair of motor vehicles and motorcycles, National Currency"
NGDPVA_R_ISIC4_H_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Transportation and storage, National Currency"
NGDPVA_R_ISIC4_I_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Accommodation and food service activities, National Currency"
NGDPVA_R_ISIC4_J_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Information and communication, National Currency"
NGDPVA_R_ISIC4_K_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Financial and insurance activities, National Currency"
NGDPVA_R_ISIC4_L_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Real estate activities, National Currency"
NGDPVA_R_ISIC4_O_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Public administration and defense; compulsory social security, National Currency"
NGDPVA_R_ISIC4_P_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Education, National Currency"
NGDPVA_R_ISIC4_Q_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Human health and social work activities, National Currency"
NGDPVA_R_ISIC4_S_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Real, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Other service activities, National Currency"
NGDP_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, Nominal, Fiscal Year, National Currency"
NGDP_PA_R_XDC,"National Accounts, Activity, Gross Domestic Product, Production Approach, Real, National Currency"
NGDP_PA_XDC,"National Accounts, Activity, Gross Domestic Product, Production Approach, Nominal, National Currency"
NGDP_R_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, Real, Fiscal Year, National Currency"
NINV_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, Gross Capital Formation, Changes in Inventories, Nominal, Fiscal Year, National Currency"
NINV_R_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, Gross Capital Formation, Changes in Inventories, Real, Fiscal Year, National Currency"
NI_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, Gross Capital Formation, Nominal, Fiscal Year, National Currency"
NI_R_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, Gross Capital Formation, Real, Fiscal Year, National Currency"
NM_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, External Balance of Goods and Services, Imports of Goods and Services, Nominal, Fiscal Year, National Currency"
NM_R_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, External Balance of Goods and Services, Imports of Goods and Services, Real, Fiscal Year, National Currency"
NX_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, External Balance of Goods and Services, Exports of Goods and Services, Nominal, Fiscal Year, National Currency"
NX_R_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, External Balance of Goods and Services, Exports of Goods and Services, Real, Fiscal Year, National Currency"
NYG_BY2015-2016_XDC,"National Accounts, Income, Savings, and Investment, Gross Domestic Product (Income Generated by Resident Producers), National Income, Gross, Nominal, National Currency (base 2015-16)"
NYG_XDC,"National Accounts, Income, Savings, and Investment, Gross Domestic Product (Income Generated by Resident Producers), National Income, Gross, Nominal, National Currency"
PAK_CGO_E_CE_D_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Current Expenditure, Defense, National Currency"
PAK_CGO_E_CE_G_P_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Current Expenditure, Grants, of which: provinces, National Currency"
PAK_CGO_E_CE_G_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Current Expenditure, Grants, National Currency"
PAK_CGO_E_CE_IP_D_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Current Expenditure, Interest payments, Domestic, National Currency"
PAK_CGO_E_CE_IP_E_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Current Expenditure, Interest payments, External, National Currency"
PAK_CGO_E_CE_IP_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Current Expenditure, Interest payments, National Currency"
PAK_CGO_E_CE_P_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Current Expenditure, Pensions (civil and defense), National Currency"
PAK_CGO_E_CE_RCG_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Current Expenditure, Running of civil government, National Currency"
PAK_CGO_E_CE_S_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Current Expenditure, Subsidies, National Currency"
